Numero,Nimi
405357,/
440567,Alamos Malbec 2015
424107,Alamos Tempranillo 2014
463077,Alpamanta Estate Cabernet Franc 2013
402217,Argento Paraje Altamira Organic Malbec 2014
451687,Argento Seleccion Malbec 2015
454597,BenMarco Expresivo 2014
466848,Bodega Piedra Negra Malbec Reserve 2014 hanapakkaus
430097,Bodega Piedra Negra Merlot Reserve 2015
004551,Caballo de Mendoza
445518,Caballo de Mendoza  hanapakkaus
487307,Cameleon Organic Cabernet Sauvignon 2015
404038,Cameleon Organic Malbec 2016 hanapakkaus
438717,Catena Cabernet Sauvignon 2014
492167,Catena Zapata Nicasia Vineyard Malbec 2010
448847,Domaine Bousquet Ameri Single Vineyard 2011
422587,Domaine Bousquet Gaia Organic 2013
450517,Domaine Bousquet Reserve Organic Malbec 2014
405507,Doña Paula Syrah 2015
939907,Enamore 2014
425998,Espíritu de Argentina Shiraz Malbec  hanapakkaus
456707,Famiglia Bianchi Malbec 2014
006504,Finca Flichman Caballero de la Cepa Cabernet Sauvignon 2015
006404,Finca Flichman Shiraz Roble 2014
481217,Fuzion Alta Reserva Malbec Tempranillo 2014
469428,Fuzion Cabernet Malbec Organic 2015 hanapakkaus
431787,Fuzion Organic Malbec 2015
458667,Fuzion The Coffee Shop Red Blend 2014
480007,Kaiken Reserve Malbec 2015
446877,La Celia Pioneer Reserve Merlot 2013
459247,La Celia Pioneer Reserve Pinot Noir 2013
493017,La Chamiza Malbec 2015
460107,Luigi Bosca Cabernet Franc  2013
430377,Luigi Bosca Cabernet Sauvignon 2013
466907,Luigi Bosca Malbec 2012
459657,Nieto Senetiner Malbec 2014
445147,Norton Barrel Select Cabernet Sauvignon 2015
464277,Norton Barrel Select Malbec 2014
931288,Norton Barrel Select Malbec 2014 hanapakkaus
432417,Norton Privada 2013
442377,Pascual Toso Cabernet Sauvignon 2014
468278,Santa Ana Eco Organic Cabernet Sauvignon Malbec 2015 hanapakkaus
489508,Santa Ana Reserve Malbec Shiraz 2014 hanapakkaus
489507,Santa Ana Reserve Malbec Shiraz 2015
458717,Santa Julia Merlot Reserva 2014
485958,Santa Julia Organic Malbec 2016 kartonkitölkki
444907,Tamari Reserva Cabernet Sauvignon 2013
006871,Trapiche Cabernet Sauvignon 2015
405047,Trapiche Finca Suarez Lastra Malbec 2011
402088,Trapiche Imago Pinot Noir 2015 kartonkitölkki
452018,Trapiche Malbec 2015 hanapakkaus
437977,Trapiche Malbec Bonarda Oak Cask 2015
412307,Trapiche Pinot Noir Oak Cask 2015
498187,Trivento Amado Sur 2014
006573,Trivento Bonarda 2014
454497,Trivento Reserve Malbec 2015
485697,Trivento Shiraz Malbec 2016
407277,Trivento Tribu Malbec 2016
479198,Viento Latino Merlot Malbec 2014 hanapakkaus
476397,Viento Latino Merlot Malbec 2015
474738,Viña Condor Malbec Shiraz 2015 kartonkitölkki
431567,Zuccardi Q Cabernet Sauvignon 2012
427857,Tilimuqui Single Vineyard Cabernet Sauvignon Bonarda 2014
408317,Trapiche Zaphy Malbec Syrah Cabernet Sauvignon 2016
413868,Trapiche Zaphy Organic 2015 kartonkitölkki
416797,Del Fin del Mundo Pinot Noir Reserva 2014
924797,Postales Del Fin Del Mundo Cabernet Sauvignon Malbec 2015
490857,Altaland Cabernet Sauvignon 2015
485797,Amalaya 2014
498657,Don David Malbec Reserve 2014
478137,Michel Torino Cuma Organic Malbec 2016
423177,Finca Las Moras Barrel Select Tannat Cabernet Sauvignon Petit Verdot 2015
432277,Finca Las Moras Black Label Malbec 2014
439887,Finca Las Moras Organic Malbec 2016
425858,Finca Las Moras Organico Shiraz 2015 hanapakkaus
403017,Finca Las Moras Reserva Sangiovese 2014
447727,Las Moras Alma Mora Shiraz Malbec  2015
469387,Trapiche Zaphy Organic Cabernet Sauvignon Syrah 2015
449687,Benchmark Cabernet Sauvignon 2014
482977,Gemstone Petit Verdot 2014
494418,Grand Barossa Shiraz 2014 hanapakkaus
402197,Grange  2010
488837,Hand Crafted By Geoff Hardy Shiraz 2015
448047,Hewitson Baby Bush Mourvèdre 2014
476347,Hewitson Le Secateur 2015
469367,Hewitson Miss Harry 2014
494507,'Hewitson Ned & Henry''s Shiraz 2015'
487837,Hugh Hamilton The Villain Cabernet Sauvignon 2014
447157,Jim Barry The Lodge Hill Shiraz 2013
459627,Kilikanoon Attunga 1865 Clare Valley Shiraz 2009
425657,McGuigan Bin 3000 Merlot 2014
424537,Penfolds Bin 707 Cabernet Sauvignon 2012
491137,Penfolds Grange  2009
455607,Penfolds Kalimna Bin 28 Shiraz 2014
006386,Penfolds Koonunga Hill Shiraz Cabernet 2014
463864,Penfolds Koonunga Hill Shiraz Cabernet 2015
469737,Peter Lehmann Portrait Cabernet 2012
442837,Peter Lehmann Portrait Shiraz 2013
454607,Rosemount GSM 2013
006092,Rosemount Shiraz 2015
461058,Sandbar Estate GSM 2014 viinipussi
443987,Sixty Clicks Cabernet Sauvignon 2015
405997,'St John''s Road Block 3 Old Vine Shiraz 2014'
410887,The Dead Arm Shiraz 2012
499057,The Original M8 2015
404817,Wakefield Cabernet Sauvignon 2014
006294,Wolf Blass Yellow Label Cabernet Sauvignon 2013
452157,Wynns Black Label Cabernet Sauvignon 2012
463597,Yalumba Hand Picked Shiraz Viognier 2012
409887,Yalumba Organic Shiraz 2014
467907,Yalumba The Scribbler 2012
467087,Yalumba Y Series Merlot 2012
928387,Yellow Tail Cabernet Sauvignon 2014
430947,Breathing Space Cabernet Sauvignon 2013
429867,Plan B Shiraz 2014
435577,Vasse Felix Cabernet Merlot 2013
480828,Badgers Creek Shiraz Cabernet  hanapakkaus
444977,Banrock Station Cabernet Sauvignon 2015
435748,Chill Out Smooth & Soft Cabernet Sauvignon 2015 hanapakkaus
955697,Curious Shiraz 2014
475798,De Bortoli DB Shiraz 2014 hanapakkaus
